input,output,time
-0.052229,2.170569,20.400000
-0.051741,2.176399,20.500000
-0.051033,2.178749,20.600000
-0.050111,2.177736,20.700000
-0.048982,2.173392,20.800000
-0.047653,2.165709,20.900000
-0.046132,2.154695,21.000000
-0.044429,2.140372,21.100000
-0.042554,2.122773,21.200000
-0.040520,2.101942,21.300000
-0.038339,2.077938,21.400000
-0.036025,2.050827,21.500000
-0.033595,2.020689,21.600000
-0.031064,1.987611,21.700000
-0.028449,1.951690,21.800000
-0.025769,1.913030,21.900000
-0.023040,1.871743,22.000000
-0.020282,1.827947,22.100000
-0.017512,1.781762,22.200000
-0.014748,1.733316,22.300000
-0.012005,1.682736,22.400000
-0.009300,1.630152,22.500000
-0.006646,1.575695,22.600000
-0.004057,1.519496,22.700000
-0.001544,1.461683,22.800000
0.000884,1.402385,22.900000
0.003219,1.341726,23.000000
0.005455,1.279828,23.100000
0.007587,1.216809,23.200000
0.009611,1.152783,23.300000
0.011527,1.087860,23.400000
0.013333,1.022145,23.500000
0.015031,0.955738,23.600000
0.016621,0.888735,23.700000
0.018108,0.821227,23.800000
0.019493,0.753300,23.900000
0.020780,0.685036,24.000000
0.021975,0.616512,24.100000
0.023080,0.547801,24.200000
0.024101,0.478970,24.300000
0.025043,0.410086,24.400000
0.025910,0.341209,24.500000
0.026707,0.272395,24.600000
0.027438,0.203701,24.700000
0.028109,0.135176,24.800000
0.028724,0.066870,24.900000
0.029286,-0.001173,25.000000
0.029799,-0.068907,25.100000
0.030268,-0.136293,25.200000
0.030697,-0.203290,25.300000
0.031087,-0.269861,25.400000
0.031443,-0.335971,25.500000
0.031767,-0.401584,25.600000
0.032062,-0.466667,25.700000
0.032330,-0.531188,25.800000
0.032574,-0.595115,25.900000
0.032795,-0.658420,26.000000
0.032996,-0.721071,26.100000
0.033178,-0.783040,26.200000
0.033343,-0.844299,26.300000
0.033492,-0.904820,26.400000
0.033626,-0.964575,26.500000
0.033746,-1.023537,26.600000
0.033854,-1.081679,26.700000
0.033948,-1.138975,26.800000
0.034031,-1.195398,26.900000
0.034102,-1.250921,27.000000
0.034162,-1.305519,27.100000
0.034209,-1.359165,27.200000
0.034244,-1.411834,27.300000
0.034265,-1.463500,27.400000
0.034271,-1.514137,27.500000
0.034261,-1.563720,27.600000
0.034232,-1.612226,27.700000
0.034181,-1.659630,27.800000
0.034104,-1.705908,27.900000
0.033997,-1.751041,28.000000
0.033855,-1.795006,28.100000
0.033671,-1.837786,28.200000
0.033436,-1.879365,28.300000
0.033142,-1.919729,28.400000
0.032778,-1.958868,28.500000
0.032331,-1.996779,28.600000
0.031787,-2.033460,28.700000
0.031131,-2.068918,28.800000
0.030348,-2.103168,28.900000
0.029419,-2.136233,29.000000
0.028330,-2.168145,29.100000
0.027065,-2.198950,29.200000
0.025615,-2.228703,29.300000
0.023973,-2.257477,29.400000
0.022141,-2.285356,29.500000
0.020129,-2.312439,29.600000
0.017960,-2.338840,29.700000
0.015664,-2.364686,29.800000
0.013282,-2.390116,29.900000
0.010862,-2.415277,30.000000
0.008457,-2.440321,30.100000
0.006118,-2.465404,30.200000
0.003894,-2.490683,30.300000
0.001826,-2.516307,30.400000
-0.000056,-2.542423,30.500000
-0.001730,-2.569166,30.600000
-0.003187,-2.596661,30.700000
-0.004425,-2.625023,30.800000
-0.005451,-2.654355,30.900000
-0.006275,-2.684747,31.000000
-0.006915,-2.716280,31.100000
-0.007386,-2.749023,31.200000
-0.007706,-2.783036,31.300000
-0.007894,-2.818372,31.400000
-0.007966,-2.855074,31.500000
-0.007939,-2.893179,31.600000
-0.007826,-2.932720,31.700000
-0.007640,-2.973723,31.800000
-0.007393,-3.016212,31.900000
-0.007094,-3.060206,32.000000
