t,v
13.4,9.999984848573424
13.5,9.999986290418635
13.6,9.999987595054314
13.7,9.999988775537593
13.8,9.999989843683057
13.9,9.999990810180998
14,9.999991684704396
14.1,9.99999247600573
14.2,9.99999319200457
14.3,9.999993839866844
14.4,9.999994426076549
14.5,9.999994956500649
14.6,9.999995436447787
14.7,9.999995870721424
14.8,9.999996263667907
14.9,9.99999661921996
15,9.999996940936066
15.1,9.999997232036062
15.2,9.999997495433366
15.3,9.999997733764147
15.4,9.999997949413691
15.5,9.999998144540291
15.6,9.999998321096836
15.7,9.999998480850362
15.8,9.999998625399737
15.9,9.999998756191657
16,9.999998874535127
16.1,9.999998981614569
16.2,9.999999078501673
16.3,9.999999166166113
16.4,9.999999245485268
16.5,9.999999317252986
16.6,9.999999382187543
16.7,9.999999440938826
16.8,9.99999949409484
16.9,9.999999542187584
17,9.999999585698388
17.1,9.999999625062724
17.2,9.999999660674561
17.3,9.999999692890317
17.4,9.999999722032415
17.5,9.99999974839252
17.6,9.999999772234455
17.7,9.999999793796833
17.8,9.999999813295464
17.9,9.999999830925493
18,9.999999846863366
18.1,9.999999861268595
18.2,9.999999874285354
18.3,9.999999886043918
18.4,9.999999896661974
18.5,9.999999906245788
18.6,9.999999914891276
18.7,9.999999922684971
18.8,9.999999929704867
18.9,9.999999936021227
19,9.999999941697267
19.1,9.999999946789796
19.2,9.999999951349775
19.3,9.999999955422849
19.4,9.999999959049777
19.5,9.999999962266864
19.6,9.999999965106303
19.7,9.999999967596516
19.8,9.999999969762424
19.9,9.999999971625703
20,9.999999973205002
20.1,9.999999974516131
20.2,9.999999975572205
20.3,9.999999976383799
20.4,9.999999976959035
20.5,9.999999977303668
20.6,9.999999977421149
20.7,9.999999977312653
20.8,9.999999976977096
20.9,9.999999976411114
21,9.99999997560905
21.1,9.999999974562872
21.2,9.999999973262112
21.3,9.999999971693747
21.4,9.999999969842087
21.5,9.999999967688598
21.6,9.999999965211719
21.7,9.999999962386672
21.8,9.999999959185178
21.9,9.999999955575195
22,9.999999951520593
22.1,9.999999946980793
22.2,9.999999941910358
22.3,9.999999936258545
22.4,9.999999929968785
22.5,9.999999922978128
22.6,9.999999915216613
22.7,9.999999906606554
22.8,9.999999897061786
22.9,9.999999886486775
23,9.999999874775687
23.1,9.999999861811311
23.2,9.999999847463895
23.3,9.999999831589848
23.4,9.999999814030296
23.5,9.999999794609497
23.6,9.999999773133084
23.7,9.999999749386106
23.8,9.999999723130905
23.9,9.999999694104703
24,9.999999662017
24.1,9.999999626546652
24.2,9.999999587338657
24.3,9.999999544000609
24.4,9.999999496098772
24.5,9.999999443153722
24.6,9.99999938463557
24.7,9.999999319958649
24.8,9.999999248475648
24.9,9.999999169471145
25,9.99999908215444
25.1,9.999998985651635
25.2,9.9999988789969
25.3,9.999998761122802
25.4,9.999998630849621
25.5,9.99999848687354
25.6,9.999998327753605
25.7,9.999998151897294
25.8,9.999997957544585
25.9,9.999997742750338
26,9.999997505364828
26.1,9.999997243012229
26.2,9.999996953066853
26.3,9.999996632626836
26.4,9.999996278485128
26.5,9.999995887097391
26.6,9.999995454546511
26.7,9.999994976503414
26.8,9.999994448183724
26.9,9.999993864299903
27,9.99999321900831
27.1,9.999992505850736
27.2,9.999991717689763
27.3,9.99999084663733
27.4,9.999989883975811
27.5,9.999988820070749
27.6,9.999987644274452
27.7,9.999986344819433
27.8,9.99998490870065
27.9,9.99998332154536
28,9.99998156746928
28.1,9.99997962891765
28.2,9.999977486489547
28.3,9.999975118743755
28.4,9.999972501984207
28.5,9.999969610022863
28.6,9.99996641391769
28.7,9.999962881683045
28.8,9.999958977969639
28.9,9.999954663710866
29,9.999949895731913
29.1,9.999944626317811
29.2,9.999938802736079
29.3,9.999932366709164
29.4,9.999925253831476
29.5,9.999917392925113
29.6,9.999908705327902
29.7,9.999899104106621
29.8,9.999888493187548
29.9,9.999876766395673
30,9.999863806392959
30.1,9.999849483505104
30.2,9.999833654425066
30.3,9.999816160780457
30.4,9.999796827550515
30.5,9.999775461316899
30.6,9.999751848330932
30.7,9.99972575237798
30.8,9.999696912417857
30.9,9.999665039977732
31,9.999629816271696
31.1,9.999590889018451
31.2,9.999547868925537
31.3,9.999500325805412
31.4,9.999447784284879
31.5,9.999389719065627
31.6,9.999325549689113
31.7,9.999254634754312
31.8,9.999176265531542
31.9,9.999089658909773
32,9.998993949608474
32.1,9.998888181578005
32.2,9.998771298504938
32.3,9.998642133330186
32.4,9.998499396678678
32.5,9.998341664089152
32.6,9.998167361921627
32.7,9.997974751808039
32.8,9.997761913498433
32.9,9.997526725940753
33,9.997266846416752
33.1,9.996979687539701
33.2,9.996662391901381
33.3,9.996311804136132
33.4,9.995924440148682
33.5,9.995496453229761
33.6,9.995023596759451
33.7,9.994501183172501
33.8,9.99392403883283
33.9,9.993286454436152
34,9.992582130530078
34.1,9.99180411771095
34.2,9.990944751025863
34.3,9.989995578077748
34.4,9.988947280301682
34.5,9.987789586852301
34.6,9.986511180517168
34.7,9.985099595049821
34.8,9.983541103301642
34.9,9.981820595525241
35,9.979921447227138
35.1,9.977825375967146
35.2,9.975512286540516
35.3,9.972960104041453
35.4,9.970144594399283
35.5,9.967039172108217
35.6,9.963614695047173
35.7,9.959839246517003
35.8,9.955677904920179
35.9,9.951092501885675
36,9.946041370113724
36.1,9.940479082797765
36.2,9.934356187191607
36.3,9.92761893574699
36.4,9.9202090192694
36.5,9.91206330774593
36.6,9.903113605904647
36.7,9.893286432182089
36.8,9.882502831609706
36.9,9.870678235176742
37,9.857722380467299
37.1,9.843539310764747
37.2,9.828027472303393
37.3,9.81107993182901
37.4,9.792584738969961
37.5,9.772425459936269
37.6,9.750481910518232
37.7,9.726631116955431
37.8,9.700748532640944
37.9,9.672709536413162
38,9.642391233933647
38.1,9.609674576911006
38.2,9.574446805298535
38.3,9.536604204749395
38.40000000000001,9.496055155401772
38.5,9.452723428580931
38.6,9.406551665675744
38.7,9.357504949127675
38.8,9.30557435049705
38.90000000000001,9.250780316785349
39,9.193175735890014
39.1,9.132848507875011
39.2,9.069923443382836
39.3,9.004563316504495
39.40000000000001,8.936968918677383
39.5,8.867377993605563
39.6,8.796062980337355
39.7,8.723327550434975
39.8,8.649501991937431
39.90000000000001,8.574937562436816
40,8.5
40.1,8.425062437563179
40.2,8.350498008062564
40.3,8.276672449565019
40.40000000000001,8.203937019662639
40.5,8.132622006394437
40.6,8.063031081322613
40.7,7.9954366834955
40.8,7.93007655661716
40.90000000000001,7.867151492124984
41,7.806824264109985
41.1,7.749219683214646
41.2,7.694425649502945
41.3,7.642495050872322
41.40000000000001,7.593448334324252
41.5,7.547276571419069
41.6,7.503944844598227
41.7,7.463395795250603
41.8,7.425553194701462
41.90000000000001,7.390325423088992
42,7.357608766066353
42.1,7.327290463586838
42.2,7.299251467359055
42.3,7.273368883044567
42.40000000000001,7.249518089481766
42.5,7.22757454006373
42.6,7.207415261030039
42.7,7.188920068170987
42.8,7.171972527696605
42.90000000000001,7.156460689235252
43,7.1422776195327
43.1,7.129321764823257
43.2,7.117497168390292
43.3,7.106713567817907
43.40000000000001,7.096886394095351
43.5,7.087936692254068
43.6,7.079790980730596
43.7,7.072381064253006
43.8,7.065643812808389
43.90000000000001,7.059520917202231
