time,u,tank1,tank2
0.0,0.0,0.0,0.0
0.1,0.16666666666666666,0.6817302093217024,0.029952996894626636
0.2,0.3333333333333333,0.916068007338317,0.03150633824112185
0.30000000000000004,0.5,1.0032086960480129,0.03208396266142661
0.4,0.6666666666666666,1.0356127712465932,0.04188371667827272
0.5,0.8333333333333333,1.03807756884682,0.02635792830011675
0.6000000000000001,1.0,1.0485790857546926,0.030169478562761393
0.7000000000000001,1.1666666666666665,1.0716540904566132,0.03158683896193578
0.8,1.3333333333333333,1.1089896224902391,0.022528938596554273
0.9,1.5,1.1516280641849017,0.028745633145356247
1.0,1.6666666666666665,1.1578986061103045,0.04064232781300032
1.1,1.8333333333333333,1.1794002834318091,0.03548126531629598
1.2000000000000002,2.0,1.2065658000463368,0.033562076247169746
1.3,2.1666666666666665,1.207082590936916,0.11911303900663245
1.4000000000000001,2.333333333333333,1.236029641452757,0.09341620579407614
1.5,2.5,1.1988690762614158,0.1797101895366343
1.6,2.6666666666666665,1.223390410657597,0.30764899968461196
1.7000000000000002,2.833333333333333,1.2133389788024098,0.1731100144997058
1.8,3.0,1.2000163014178185,0.14225036013195003
1.9000000000000001,3.1666666666666665,1.1854771809720415,0.14035986977534648
2.0,3.333333333333333,1.1704857148653214,0.09173207832993047
2.1,3.5,1.136156121806795,0.12157417704494723
2.2,3.6666666666666665,1.1233903434835237,0.11350132086611103
2.3000000000000003,3.833333333333333,1.233662778212548,0.12008431325312582
2.4000000000000004,4.0,1.2554986901997247,0.1225322601709102
2.5,4.166666666666666,1.1390141099876814,0.12344255198958382
2.6,4.333333333333333,1.210717744014348,0.12378105246486949
2.7,4.5,1.1415318168559314,0.11432196800718765
2.8000000000000003,4.666666666666666,1.1445592636751607,0.10121956050910583
2.9000000000000004,4.833333333333333,1.2798744740074246,0.10593226748092377
3.0,5.0,1.1768333488244618,0.10768473137999175
3.1,5.166666666666666,1.196026302542852,0.12750631938517104
3.2,5.333333333333333,1.2798430528602363,0.09653732513081913
3.3000000000000003,5.5,1.2247464596101758,0.10419113472718902
